Region,Country,Community Name,Population,Water Source Type,Water Availability (liters per capita per day),Number of Functional Water Points,Number of Non-Functional Water Points,Sanitation Facility Type,Annual Maintenance Cost (USD),Government Support,NGO Support,Average Distance to Water Source (km),Waterborne Diseases Incidence Rate (%),Community Satisfaction Rate (%)
Southern Zambia,Zambia,Southern Community 1,1142,Borehole,62.8,22,0,Toilets,28629,Yes,No,9.4,21.8,89.2
Northern Malawi,Malawi,Northern Community 2,14820,Borehole,37.8,33,7,Latrines,7374,Yes,Yes,7.9,0.4,68.7
Dar es Salaam,Tanzania,Dar Community 3,14128,Well,82.9,28,2,Toilets,25081,No,No,3.8,12.8,55.5
Eastern Nigeria,Nigeria,Eastern Community 4,13398,River,68.4,36,0,Latrines,36025,Yes,No,0.6,28.1,84.0
Eastern Nigeria,Nigeria,Eastern Community 5,14147,Borehole,35.7,12,9,Toilets,9037,No,No,1.5,4.9,54.3
Northern Malawi,Malawi,Northern Community 6,14944,Borehole,91.3,26,4,Latrines,44774,Yes,No,2.3,25.0,55.0
Eastern Nigeria,Nigeria,Eastern Community 7,14456,Well,38.1,18,5,Latrines,20253,Yes,No,4.7,6.5,89.8
Northern Malawi,Malawi,Northern Community 8,7467,Well,51.2,10,8,Latrines,12186,No,Yes,8.3,10.0,55.5
Northern Malawi,Malawi,Northern Community 9,4851,Borehole,49.7,19,2,Toilets,4546,Yes,Yes,5.2,12.6,60.0
Eastern Rwanda,Rwanda,Eastern Community 10,12970,Borehole,74.1,24,3,Latrines,40207,Yes,Yes,0.8,14.6,53.5
Eastern Ethiopia,Ethiopia,Eastern Community 11,14945,Well,94.3,14,3,Toilets,24134,No,Yes,3.5,22.4,62.6
Eastern Nigeria,Nigeria,Eastern Community 12,9757,Well,16.3,2,6,Latrines,23275,Yes,No,5.8,28.7,74.0
Southern Zambia,Zambia,Southern Community 13,4514,Well,50.0,11,0,Toilets,41917,No,No,5.4,23.2,66.9
Eastern Rwanda,Rwanda,Eastern Community 14,3677,Borehole,65.3,25,9,Latrines,31746,Yes,No,3.7,19.8,56.2
Eastern Rwanda,Rwanda,Eastern Community 15,12895,Well,67.7,1,0,Toilets,3263,Yes,No,9.9,14.4,87.9
Western Kenya,Kenya,Western Community 16,12950,River,33.0,31,4,Latrines,1341,No,No,2.3,13.0,71.1
Eastern Nigeria,Nigeria,Eastern Community 17,14860,River,64.3,25,6,Toilets,43722,No,Yes,9.0,9.4,80.5
Western Uganda,Uganda,Western Community 18,1712,Well,14.0,38,10,Latrines,42220,Yes,No,3.5,27.2,92.5
Western Uganda,Uganda,Western Community 19,10546,Borehole,50.2,49,2,Latrines,4459,Yes,Yes,3.4,11.9,62.0
Western Kenya,Kenya,Western Community 20,7764,Well,26.7,33,0,Toilets,36355,No,Yes,5.5,10.6,92.4
Western Kenya,Kenya,Western Community 21,13322,Borehole,22.9,6,1,Toilets,42469,Yes,No,3.2,24.3,80.2
Central Senegal,Senegal,Central Community 22,3802,River,36.8,43,7,Toilets,26112,Yes,No,1.4,19.2,86.2
Eastern Nigeria,Nigeria,Eastern Community 23,12872,Borehole,12.7,37,2,Latrines,22265,Yes,Yes,9.7,23.2,77.8
Eastern Ethiopia,Ethiopia,Eastern Community 24,10756,Borehole,31.5,41,9,Toilets,40984,Yes,Yes,2.1,25.2,80.7
Southern Zambia,Zambia,Southern Community 25,11599,Well,54.3,6,1,Toilets,3916,Yes,No,7.1,17.9,78.4
Southern Zambia,Zambia,Southern Community 26,1574,Borehole,27.0,34,4,Latrines,29866,No,No,7.8,15.3,69.3
Northern Ghana,Ghana,Northern Community 27,2544,Borehole,94.7,50,2,Latrines,12420,No,No,7.9,3.2,78.0
Western Kenya,Kenya,Western Community 28,1730,Borehole,41.6,32,6,Toilets,28992,No,Yes,4.6,12.1,72.9
Dar es Salaam,Tanzania,Dar Community 29,9266,Well,91.3,2,7,Latrines,27671,Yes,Yes,4.0,25.2,55.9
Eastern Nigeria,Nigeria,Eastern Community 30,2716,River,62.2,6,4,Toilets,42125,Yes,Yes,0.8,21.3,90.6
Eastern Nigeria,Nigeria,Eastern Community 31,9535,Well,57.2,41,7,Latrines,43918,Yes,Yes,4.6,23.4,61.6
Northern Ghana,Ghana,Northern Community 32,12624,River,25.7,4,1,Toilets,49293,No,No,7.7,15.5,77.2
Southern Zambia,Zambia,Southern Community 33,3350,River,77.3,29,10,Latrines,3517,Yes,Yes,0.5,13.4,94.1
Dar es Salaam,Tanzania,Dar Community 34,4287,Borehole,20.6,16,5,Latrines,9569,Yes,No,4.9,6.6,90.7
Central Senegal,Senegal,Central Community 35,672,River,64.7,44,3,Latrines,36637,No,No,0.8,22.1,93.9
Central Senegal,Senegal,Central Community 36,2672,Well,44.0,9,2,Toilets,4170,No,Yes,3.8,29.0,87.0
Eastern Nigeria,Nigeria,Eastern Community 37,7360,Well,88.3,12,1,Toilets,28260,No,No,8.2,18.1,76.3
Southern Zambia,Zambia,Southern Community 38,2833,Borehole,49.7,47,8,Toilets,34513,Yes,Yes,2.2,13.2,91.9
Southern Zambia,Zambia,Southern Community 39,7402,Well,93.5,16,2,Latrines,35281,Yes,Yes,8.4,10.0,94.3
Eastern Ethiopia,Ethiopia,Eastern Community 40,11819,Borehole,12.6,21,8,Toilets,15280,Yes,No,8.4,7.4,52.0
Northern Ghana,Ghana,Northern Community 41,5396,Well,99.5,12,4,Toilets,26743,Yes,Yes,6.5,9.3,70.2
Eastern Ethiopia,Ethiopia,Eastern Community 42,7399,Well,80.5,15,8,Latrines,4662,No,No,6.6,2.3,77.2
Eastern Rwanda,Rwanda,Eastern Community 43,13340,Well,68.1,7,0,Latrines,1168,No,No,2.0,12.9,81.3
Southern Zambia,Zambia,Southern Community 44,9747,River,20.3,4,10,Latrines,5758,No,Yes,8.5,21.6,60.7
Eastern Ethiopia,Ethiopia,Eastern Community 45,1589,Borehole,87.6,39,2,Latrines,10003,Yes,Yes,7.9,23.2,56.8
Western Uganda,Uganda,Western Community 46,13013,Borehole,55.2,44,4,Latrines,21386,No,Yes,3.1,19.1,64.3
Eastern Rwanda,Rwanda,Eastern Community 47,8057,Borehole,96.0,1,10,Toilets,41391,Yes,No,6.4,1.3,70.7
Western Kenya,Kenya,Western Community 48,11669,Well,99.3,47,2,Toilets,12479,No,No,9.2,27.8,76.9
Northern Ghana,Ghana,Northern Community 49,3290,River,88.6,23,7,Toilets,17668,No,No,3.1,23.4,55.2
Central Senegal,Senegal,Central Community 50,2944,River,82.9,46,5,Latrines,11550,Yes,No,2.2,14.5,55.4
Eastern Nigeria,Nigeria,Eastern Community 51,10466,Well,74.3,23,7,Toilets,32217,Yes,No,2.4,20.8,60.4
Dar es Salaam,Tanzania,Dar Community 52,3819,Well,22.5,50,10,Latrines,31693,No,Yes,5.4,1.6,52.9
Central Senegal,Senegal,Central Community 53,10191,Well,72.5,44,4,Latrines,32710,Yes,No,8.3,25.1,66.2
Western Kenya,Kenya,Western Community 54,8837,River,82.2,33,10,Toilets,49272,Yes,No,8.1,7.2,56.9
Western Kenya,Kenya,Western Community 55,3530,Borehole,46.4,16,1,Toilets,1319,Yes,Yes,5.6,21.0,78.5
Eastern Rwanda,Rwanda,Eastern Community 56,12871,Borehole,20.1,44,2,Toilets,33985,No,No,5.5,19.2,76.2
Western Kenya,Kenya,Western Community 57,582,Borehole,75.7,26,1,Latrines,33008,No,Yes,1.1,5.9,78.7
Northern Ghana,Ghana,Northern Community 58,8172,Borehole,22.9,21,10,Latrines,3192,Yes,No,8.8,19.6,53.7
Northern Ghana,Ghana,Northern Community 59,9652,River,90.2,42,7,Toilets,20339,Yes,Yes,8.4,25.2,58.7
Southern Zambia,Zambia,Southern Community 60,2399,Well,36.7,18,1,Toilets,21000,No,Yes,2.4,9.2,90.9
Northern Ghana,Ghana,Northern Community 61,12333,Borehole,45.8,45,10,Toilets,41617,Yes,No,5.5,10.5,88.3
Eastern Ethiopia,Ethiopia,Eastern Community 62,11133,Borehole,60.0,5,5,Latrines,37542,No,No,5.5,12.4,61.4
Central Senegal,Senegal,Central Community 63,12759,Well,15.8,4,7,Toilets,7473,No,No,5.2,19.7,84.3
Eastern Rwanda,Rwanda,Eastern Community 64,11747,Borehole,90.7,31,8,Latrines,47800,No,Yes,1.5,14.6,82.1
Eastern Rwanda,Rwanda,Eastern Community 65,5247,Well,11.7,26,2,Toilets,42736,No,No,4.5,5.0,75.6
Central Senegal,Senegal,Central Community 66,4759,River,29.8,23,2,Toilets,15837,No,No,9.9,24.8,59.6
Eastern Rwanda,Rwanda,Eastern Community 67,4636,Well,46.2,26,2,Toilets,21457,No,Yes,3.3,24.8,93.4
Eastern Ethiopia,Ethiopia,Eastern Community 68,6911,Borehole,88.9,46,5,Toilets,48889,Yes,No,6.1,14.7,87.4
Southern Zambia,Zambia,Southern Community 69,2036,Well,37.8,9,7,Latrines,40513,Yes,Yes,8.7,2.0,64.4
Eastern Nigeria,Nigeria,Eastern Community 70,717,River,87.9,21,6,Latrines,39619,No,No,9.8,1.2,84.7
Western Uganda,Uganda,Western Community 71,4515,Well,22.2,28,9,Latrines,37463,No,Yes,0.6,6.8,80.5
Northern Malawi,Malawi,Northern Community 72,11330,Well,45.2,50,3,Latrines,40782,No,Yes,8.7,22.0,72.3
Eastern Nigeria,Nigeria,Eastern Community 73,14105,River,34.8,30,1,Toilets,3753,No,Yes,1.7,29.6,64.3
Western Kenya,Kenya,Western Community 74,14458,River,43.4,42,2,Latrines,22716,No,No,8.3,20.5,86.3
Dar es Salaam,Tanzania,Dar Community 75,734,River,67.2,10,9,Toilets,26746,Yes,Yes,1.2,2.4,50.5
Western Uganda,Uganda,Western Community 76,588,Borehole,95.6,10,8,Latrines,48846,No,Yes,1.7,5.9,94.2
Southern Zambia,Zambia,Southern Community 77,8859,River,30.7,12,8,Latrines,44977,Yes,Yes,6.9,18.5,61.4
Dar es Salaam,Tanzania,Dar Community 78,12931,Well,97.8,5,1,Toilets,31925,Yes,No,1.6,18.9,51.1
Central Senegal,Senegal,Central Community 79,12631,Borehole,55.7,9,8,Toilets,36567,No,No,3.2,10.3,59.6
Eastern Rwanda,Rwanda,Eastern Community 80,4928,Borehole,92.6,6,1,Latrines,2602,Yes,Yes,2.5,18.5,57.8
Northern Malawi,Malawi,Northern Community 81,10106,Borehole,24.5,5,8,Latrines,7524,No,Yes,7.5,28.3,81.0
Northern Ghana,Ghana,Northern Community 82,11730,Well,11.8,35,2,Latrines,45458,No,Yes,6.8,1.4,57.2
Dar es Salaam,Tanzania,Dar Community 83,922,Well,24.7,11,4,Latrines,1687,Yes,No,1.1,7.7,77.3
Northern Malawi,Malawi,Northern Community 84,8395,Borehole,13.8,24,8,Latrines,12422,No,No,3.9,25.6,86.9
Northern Malawi,Malawi,Northern Community 85,7604,Borehole,14.4,17,6,Toilets,4577,Yes,No,7.6,19.0,65.4
